isbn	title	publisher
1400048753	The Republican Noise Machine : Right-Wing Media and How It Corrupts Democracy: David Brock: Amazon.com: Books	 Crown; First Edition edition (May 18, 2004)
0198296347	The End of Class Politics?: Class Voting in Comparative Context: Geoffrey Evans: 9780198296348: Amazon.com: Books	 Oxford University Press, USA (December 23, 1999)
0465045804	Fooled Again: The Real Case for Electoral Reform: Mark Crispin Miller: Amazon.com: Books	 Basic Books; annotated edition edition (June 12, 2007)
192946245X	Amazon.com: Black Box Voting: Ballot Tampering in the 21st Century (9781929462452): Bev Harris: Books	 Elon House/Plan Nine (July 2003)
0641863950	The Truth (with jokes): Al Franken: 9780641863950: Amazon.com: Books	 Dutton Adult (October 25, 2005)
019959385X	Justice in a Globalized World: A Normative Framework: Laura Valentini: 9780199593859: Amazon.com: Books	 Oxford University Press, USA (March 2, 2012)
0307395278	Redneck Boy in the Promised Land: The Confessions of &quot;Crazy Cooter&quot;: Ben Jones: 9780307395276: Amazon.com: Books	 Crown; 1 edition (June 3, 2008)
0275998665	Amazon.com: A Liberal Tool Kit: Progressive Responses to Conservative Arguments (9780275998660): David Coates: Books	 Praeger (July 30, 2007)
1403968519	The Bush Betrayal: James Bovard: 9781403968517: Amazon.com: Books	 Palgrave Macmillan (August 25, 2005)
1595265708	Amazon.com: Strange Liberators: Militarism, Mayhem, and the Pursuit of Profit (9781595265708): Gregory Elich, Michael Parenti, Mickey Z: Books	 Llumina Press (May 12, 2006)
0976062186	Jacked: How &quot;Conservatives&quot; Are Picking Your Pocket (Whether You Voted for Them or Not): Nomi Prins: 9780976062189: Amazon.com: Books	 Polipoint Press (September 1, 2006)
0393327019	Losing America: Confronting a Reckless and Arrogant Presidency: Robert C. Byrd: 9780393327014: Amazon.com: Books	 W. W. Norton & Company (April 25, 2005)
0316091073	C Street: The Fundamentalist Threat to American Democracy: Jeff Sharlet: Amazon.com: Books	 Little, Brown and Company; 1 edition (September 27, 2010)
1560255838	Amazon.com: Taking Back America: And Taking Down the Radical Right (Nation Books) (9781560255833): Katrina vanden Heuvel, Robert L. Borosage: Books	 Nation Books; First Printing edition (March 1, 2004)
1442335262	Obama&#39;s Wars: Bob Woodward, Boyd Gaines: Amazon.com: Books	 Simon & Schuster Audio; Abridged edition (September 27, 2010)
0307408663	Great American Hypocrites: Toppling the Big Myths of Republican Politics: Glenn Greenwald: 9780307408662: Amazon.com: Books	 Broadway (October 7, 2008)
1573927538	Liberalism and Social Action (Great Books in Philosophy): John Dewey: 9781573927536: Amazon.com: Books	 Prometheus Books (November 1999)
0822342723	Capitalism and Christianity, American Style: William E. Connolly: 9780822342724: Amazon.com: Books	 Duke University Press Books (April 9, 2008)
0939680297	Amazon.com: The Spiritual Dimension of Green Politics (9780939680290): Charlene Spretnak: Books	 Bear & Co; Margin Notes edition (December 1986)
0745330061	Barack Obama and Twenty-first Century Politics: A Revolutionary Moment in the USA: Horace Campbell: 9780745330068: Amazon.com: Books	 Pluto Press; 1 edition (August 15, 2010)
0691091811	Latin America at the End of Politics: Forrest D. Colburn: 9780691091815: Amazon.com: Books	 Princeton University Press (February 11, 2002)
0226993329	Amazon.com: The Truth about Leo Strauss: Political Philosophy and American Democracy (9780226993324): Catherine H. Zuckert, Michael Zuckert: Books	 University Of Chicago Press (September 25, 2006)
0979472792	Barack Obama: The Official Inaugural Book: David Hume Kennerly, Robert McNeely, Pete Souza, Tom Brokaw, John Lewis, Douglas Brinkley: 9780979472794: Amazon.com: Books	 Five Ties Publishing; First edition (May 1, 2009)
