web,pv,uv
qq.com,4287432,61742
baidu.com,1697581,34506
qpic.cn,1296772,36656
taobao.com,616067,10992
360.cn,517147,20221
qlogo.cn,427045,29883
sinaimg.cn,398810,8881
apple.com,313031,21836
sohu.com,299500,6184
ucweb.com,219886,8413
weibo.cn,216397,7515
taobaocdn.com,202214,4693
alicdn.com,199024,4582
sogou.com,194464,9968
gtimg.cn,182818,10692
163.com,181220,3292
renren.com,175882,4323
sina.cn,154736,9056
xiaomi.net,144813,3906
umeng.com,125972,14165
sina.com.cn,124029,5254
gtimg.com,122823,9985
kugou.com,122671,3311
ijinshan.com,106791,4852
lenovomm.com,104732,2795
mapbar.com,98497,1978
360buyimg.com,89740,1255
xiaomi.com,89153,4297
360safe.com,87122,1945
amap.com,84922,3334
duba.net,83014,2649
qhimg.com,80771,2237
alipay.com,79810,5496
mmstat.com,79651,3645
windowsupdate.com,79514,1802
duapp.com,76586,7997
google-analytics.com,75591,7090
youku.com,75438,3486
bdimg.com,71190,9007
tanx.com,70883,3106
jd.com,68047,836
aliyun.com,67639,5063
wandoujia.com,66193,3753
monternet.com,66159,22201
flurry.com,65694,6583
uc.cn,65367,6569
ifeng.com,64297,1555
tbcdn.cn,64024,2882
doubleclick.net,62984,4482
google.com,62802,6573
baidu-2img.cn,61955,2636
kuwo.cn,59403,2121
punchbox.org,58939,3188
cnzz.com,58147,3206
360buy.com,57302,2238
xunlei.com,55088,1312
itc.cn,53909,2286
domob.cn,53659,2127
baofeng.com,53304,2077
verisign.com,53085,7537
weibo.com,51454,2743
sinajs.cn,50103,1891
amazonaws.com,50035,646
10086.cn,48217,2819
snssdk.com,47735,1431
dianping.com,44681,3340
idqqimg.com,44284,8654
91.com,44071,3932
qiyi.com,43061,1209
soso.com,42782,3495
ykimg.com,42346,1807
baidustatic.com,40825,3887
microsoft.com,39178,2415
adsage.com,37752,628
hiapk.com,37433,1728
pstatp.com,37375,679
4ko.cn,37344,469
youdao.com,37089,3449
3g.cn,36553,1551
xnimg.cn,34276,1912
ifengimg.com,34266,1055
cmread.com,34226,1182
sdo.com,33576,1674
msftncsi.com,32419,2362
bdstatic.com,31852,2520
immomo.com,31266,798
kuaibo.com,29132,1913
mi-idc.com,28986,4642
tmall.com,28981,1269
rrimg.com,28676,1567
autohome.com.cn,28624,343
iqiyi.com,28121,3193
moji001.com,28020,3792
kontagent.net,27564,100
mediav.com,26584,1512
weather.com.cn,25216,2521
irs01.com,24837,2955
126.net,24548,1408
yy.com,23653,374
rrfmn.com,23407,1429
umeng.co,22954,4027
inmobi.com,22838,831
sandai.net,22349,915
fetion.com.cn,21476,1440
dpfile.com,21455,927
qzoneapp.com,20642,704
58.com,20306,728
ppstream.com,20212,1104
netease.com,20129,1075
hao123.com,19989,1293
dxsvr.com,19343,2225
ksmobile.com,19223,1165
paipaiimg.com,19110,1304
baidu-img.cn,18738,2417
yahooapis.com,18284,3592
funshion.com,18061,679
accu-weather.com,18010,1469
ttpod.com,17888,1407
cnzz.net,16891,453
babytree.com,16828,501
letv.com,16760,634
miaozhen.com,16646,1953
go2map.com,16508,214
alisoft.com,16396,885
autoimg.cn,15278,251
admob.com,15244,2327
pptv.com,15109,492
miui.com,15090,1465
coolyun.com,14974,497
pc120.com,14929,536
qiushibaike.com,14761,507
easou.com,14563,315
zhangyue.com,14438,1027
gstatic.com,14404,1592
scorecardresearch.com,14338,1848
xnpic.com,14263,1363
jiayuan.com,14124,127
qzone.com,14078,2044
touchmedia.cn,14048,213
guomob.com,14042,193
immob.cn,13922,509
kaixin001.com,13855,271
linezing.com,13530,813
i139.cn,13174,612
kankan.com,12922,591
autonavi.com,12914,5227
adsmogo.com,12910,851
myzaker.com,12826,242
duowan.com,12808,383
adview.cn,12658,456
url.cn,12651,2142
ganji.com,12418,423
com.hk,12338,1022
sohu.com.cn,12172,1077
kuaipan.cn,12154,1541
qingting.fm,11949,300
qihoo.com,11875,881
meituan.com,11763,943
adwo.com,11727,631
moumentei.com,11689,259
umengcloud.com,11686,373
qidian.com,11547,238
wrating.com,11478,1281
diditaxi.com.cn,11217,132
baofeng.net,11082,426
adsmogo.org,11048,822
baihe.com,10990,99
twsapp.com,10930,90
adsmogo.net,10866,816
1000chi.com,10805,1074
